S,B,latency_s,peak_memory_bytes,energy_j,status,energy_method,energy_j_from_counter,energy_j_from_power,is_validation,repeats,latency_repeats,latency_window_s,warmup_repeats,warmup_window_s,oom_retries,latency_mad_s,power_samples,distinct_power_readings,power_window_s,free_memory_bytes_before,gpu_temp_c_before,gpu_temp_c_after,sm_clock_mhz_before,sm_clock_mhz_after,power_w_before,power_w_after,measurement_warning,trial_count,latency_trial_mad_s,energy_trial_mad_j,peak_memory_range_bytes
368,252,0.28779869150002924,3253899264,19.2695,ok,nvml_counter,19.2695,19.08719047513907,1,60,60,5.749913743999969,60,5.737401382000144,0,0.0006215579999206966,674,44,5.728823522999846,15471542272,76.0,77.0,1560.0,705.0,38.289,69.343,,3,0.0007378479999715637,0.014649999999999608,0
64,229,0.009245233000001463,125181440,0.6215476923076922,ok,nvml_counter,0.6215476923076922,0.6122717067216427,1,974,163,0.5025384779999058,165,0.5041130920001251,0,6.282300000748364e-05,372,16,3.0030524030000834,15471542272,76.0,77.0,1560.0,945.0,37.894,67.282,,3,1.138649997756147e-05,0.000433846153846118,0
256,33,0.012220114000001558,293961728,0.7988693877551021,ok,nvml_counter,0.7988693877551021,0.8149509575944093,1,735,123,0.5028616909999073,125,0.5086021749998508,0,9.715700002743688e-05,368,22,3.002550379000013,15471542272,77.0,77.0,1560.0,900.0,35.72,66.751,,3,1.4776999933019397e-05,5.714285714286671e-05,0
128,8,0.0010143889999199018,22642688,0.06880931339225017,ok,nvml_counter,0.06880931339225017,0.06849770558144797,0,8838,1475,0.5007220610000331,1481,0.5002912489999289,0,8.325500061800994e-06,384,20,3.0004239059999236,15471542272,77.0,78.0,1575.0,1260.0,38.882,66.636,,3,2.139000116585521e-06,1.3617408292559974e-05,0
256,2,0.0008730350000405451,22906880,0.05893912788996196,ok,nvml_counter,0.05893912788996196,0.05872183852399717,0,10249,1711,0.5006509049999295,1726,0.5002206080000633,0,5.6680000852793455e-06,384,20,3.000697808000041,15471542272,77.0,77.0,1560.0,1140.0,40.143,66.203,,3,6.289999419095693e-07,0.00012084870453774738,0
368,128,0.14104963550005323,1644396544,9.24040909090909,ok,nvml_counter,9.24040909090909,9.413477215238986,1,66,60,2.8204826780001895,60,2.8223298079999495,0,0.0003626794999718186,369,22,3.0981138839999858,15471542272,75.0,75.0,1560.0,765.0,38.783,65.164,,3,5.412099994828168e-05,0.005636363636362773,0
368,32,0.023006239999972422,423809024,1.5656076923076923,ok,nvml_counter,1.5656076923076923,1.5539127672232953,1,391,66,0.5059153340000648,67,0.5027041430000736,0,0.00015176349995726923,369,19,3.007755373000009,15471542272,76.0,77.0,1560.0,840.0,39.551,67.38,,3,3.5411499879955954e-05,0.0012615384615386471,0
32,2,0.0004528689999006019,18874368,0.025922391270938986,ok,nvml_counter,0.025922391270938986,0.02683444730420943,0,19519,3168,0.5003279610000391,3246,0.5000377389999358,0,2.0740000081787002e-05,397,14,3.0001192400000036,15471542272,77.0,77.0,1590.0,1590.0,42.513,55.972,,3,3.2359998840547632e-06,0.00013572867365529984,0
256,256,0.1327677894998942,1683062784,8.809695652173913,ok,nvml_counter,8.809695652173913,8.794500561669265,0,69,60,2.656485927999938,60,2.6503619869999966,0,0.0005425924999826748,364,23,3.04750993499988,15471542272,77.0,77.0,1560.0,780.0,42.291,64.614,,3,1.639100003103522e-05,0.00395652173912886,0
32,32,0.0006170379999730358,15958016,0.04323361942641825,ok,nvml_counter,0.04323361942641825,0.04313880255849561,0,14337,2402,0.5000451729999895,2394,0.5000949350001065,0,7.086000096023781e-06,389,21,3.0005120700000134,15471542272,77.0,78.0,1575.0,1470.0,42.883,68.558,,3,7.75000899011502e-08,6.581322750064122e-05,0
128,33,0.003261948499925893,50495488,0.2184989154013015,ok,nvml_counter,0.2184989154013015,0.21608776740987096,1,2772,461,0.5016668640000717,470,0.5021473040001183,0,1.7656500062912528e-05,376,25,3.0023578850000376,15471542272,77.0,77.0,1560.0,1005.0,39.771,65.185,,3,5.979500087960332e-06,0.00021986852920879985,0
384,33,0.026305719999982102,568453120,1.787280701754386,ok,nvml_counter,1.787280701754386,1.7707704051114879,1,342,60,0.5268259770000441,60,0.5201310749998811,0,6.787899997107161e-05,370,18,3.002444288999868,15471542272,75.0,76.0,1560.0,870.0,39.178,66.734,,3,4.759999910675106e-06,8.7719298245581e-05,0
368,64,0.04547064649989352,830537728,3.087939393939394,ok,nvml_counter,3.087939393939394,3.07498776652093,1,198,60,0.9111725109999043,60,0.9052378500000486,0,0.0003620859999955428,366,17,3.0139489349999167,15471542272,75.0,76.0,1560.0,825.0,38.783,66.44,,3,4.1787500094869756e-05,0.012530303030303003,0
448,32,0.03375612849993104,598855680,2.2666666666666666,ok,nvml_counter,2.2666666666666666,2.2751791602889466,1,270,60,0.6740974399999686,60,0.6683377070000915,0,0.00023068849998253427,369,11,3.0290949099999125,15471542272,76.0,77.0,1560.0,825.0,36.927,68.263,,3,0.0001264419998960875,0.0006222222222223017,0
128,2,0.00048447200015289127,17794048,0.03453266331658291,ok,nvml_counter,0.03453266331658291,0.034365953108191745,0,17891,2949,0.5001386279998314,3033,0.5004465600000003,0,1.2622000213013962e-05,388,21,3.0001503639998646,15471542272,77.0,78.0,1575.0,1530.0,41.625,68.558,,3,1.0409999049443286e-06,4.1968733665000146e-05,0
64,64,0.0016895329999897513,32210944,0.11326858108108108,ok,nvml_counter,0.11326858108108108,0.1119920893324406,0,5326,885,0.5003831919998447,897,0.5008653269999286,0,1.6866999885678524e-05,378,23,3.0010078400000566,15471542272,77.0,78.0,1560.0,1065.0,38.586,66.972,,3,9.819998467719415e-07,8.409497525695142e-05,0
512,4,0.0060349749999204505,85032960,0.40365330661322646,ok,nvml_counter,0.40365330661322646,0.4006150007115895,0,1496,250,0.5012062690000221,255,0.5014325209999697,0,1.2128000207667355e-05,377,22,3.005305858000156,15471542272,76.0,77.0,1560.0,960.0,38.882,66.988,,3,2.1099999685247894e-06,0.00047330661322647627,0
32,4,0.0004526354999825344,19095552,0.026599622878692646,ok,nvml_counter,0.026599622878692646,0.027491859260743462,0,19282,3201,0.5003924869999992,3289,0.5001137030001246,0,1.9027999996978906e-05,396,16,3.000269180000032,15471542272,75.0,75.0,1590.0,1590.0,42.488,55.283,,3,2.48549997650116e-06,0.00048072788479765205,0
512,256,0.5295625909999444,6169042944,35.3931,ok,nvml_counter,35.3931,35.355672105079414,0,60,60,10.58767160399998,60,10.608662405999894,0,0.0007032785000546937,1249,59,10.628739192000012,15471542272,76.0,77.0,1575.0,780.0,38.487,70.477,,3,0.0015168835000167746,0.057900000000003615,0
384,8,0.006820271499918817,95125504,0.4558208616780045,ok,nvml_counter,0.4558208616780045,0.4548699786553601,0,1321,222,0.504240136000135,223,0.5022515439998188,0,3.785749993312493e-05,377,18,3.003682169000058,15471542272,76.0,77.0,1560.0,915.0,40.044,65.909,,3,1.0185000064666383e-05,0.00044050195835909634,0
256,4,0.0016222369999923103,32210944,0.10889411129119395,ok,nvml_counter,0.10889411129119395,0.10779026282318113,0,5555,922,0.5003869810000197,932,0.5012490290000642,0,3.320250004890113e-05,377,22,3.000916502000109,15471542272,77.0,77.0,1560.0,1065.0,38.783,67.38,,3,1.8537999949330697e-05,0.0005487071369903312,0
